URL,ID,Date,Author,Comment
http://www.foxnews.com/opinion/2016/03/02/super-tuesdays-over-can-trump-still-be-stopped-yes-heres-how.html,,,,
,1,"Mar 12, 2016",Jim5901,"Kasich and Rubio are in the race only to try to get a brokered convention because the Washington insiders don't want Cruz or Trump.  The insiders would prefer another insider even if it's Hillary or Sanders. 
Hillary fears Cruz.
Hillary and Trump know each other very well and she knows all of Trumps weaknesses"
,2,"Mar 10, 2016",Nomuzzles,What upsets me is if they have a brokered convention who will they pick....we actually have more freedom than we used to. They used to pick candidates in smoke filled back rooms. Thankfully That's over.
,3,"Mar 10, 2016",fl2054gy,The will of the people is driving TRUMPS success...It can not be stopped by the media or politicians..
,4,"Mar 12, 2016",Jim5901,"@fl2054gy  Yes, but they're voting without knowing what they are going to get.  Trumps will never commit.  Trump is never straight forward and even said you have to compromise.  Cruz won't compromise on illegal immigration or our 2nd amendment! "
,5,"Mar 8, 2016",HoniSoitQuiMalYPense,"CRUZ  is BEATING Hillary nationally
TRUMP is being BEATEN by Hillary nationally
DEMOCRATS  cross over to vote for Trump
TRUMP gets the nomination knowing Hillary can beat him
DEMOCRATS then cross BACK over to vote for Hillary in the General election
HILLARY beats Trump
HILLARY gets the White House.....................................

TRUMP laughs his fat, orange face off at AMERICA , shrugs and says..........""I TOLD you I'd do ANYTHING to get what I want - and after all Folks,  DEAL IS A DEAL""

DEMOCRATS ARE BRAGGING THAT THEY ARE DOING THIS!"
,6,"Mar 12, 2016",Jim5901,@HoniSoitQuiMalYPense  Very true!
,7,"Mar 7, 2016",JustPolit,The above theory is good. BUT IT WONT WORK AGAINST TRUMP. LOL!  He is a whirlpool/bulldozer that will whiz past anything put in his pathway.
,8,"Mar 8, 2016",HoniSoitQuiMalYPense,"@JustPolit 
Last week CRUZ won 2 States with THOUSANDS more votes than Trump
TRUMP barely SQUEAKED by in  his 2 states!

Hardly A bulldozer - MORE A KID'S LEGO CAR!

And Trump has so many demonstrators at his rallies he can't hear himself THINK! LOL [which is lucky because he DOESN'T think!]"
,9,"Mar 7, 2016",RWhitmer,"I've always considered myself a Republican, and accepted losses as just part of the game, but thanks to Donald Trump I now see it as a group of people whom are attempting to steal Americans votes.  I couldn't understand why when we elected people to office they seldom if ever followed through.  I now know.  Those who've won were owned by the so called Republican governing committee.  Your vote doesn't matter.  They want your money to supposedly support your candidate, but they use it where they want to.  I didn't favor Trump when this election began, I wanted Cruz.  But their actions against what the people wanted exposed their actions.  Generally Party die hards are generally chosen as delegates.  Since the seventies we haven't seen a brokered convention, and I actually didn't realized as I listened to the going on at the conventions what was happening.  Of course in those days there were often more than two running.  Today I see the party attempting to steal the citizens votes by this so called convention!  I may still vote for Cruz, but I will never again send money to the Republican Party!"
,10,"Mar 5, 2016",djw22,I have a friend in CA who is a Dem but he plans to vote Republican and vote for Donald Trump in the open primary.  Why? Because he wants Hillary to run against DT. Easier.
,11,"Mar 5, 2016",LeoMerc71,"I cannot understand how the pundits and the media in general keep on being oblivious to the endless number of gaffes, flip flops, vulgarities, and bad ""ideas"" that come from Trump, or Drumpf. THEY WOULD HAVE PUT AN END TO ANY OTHER CANDIDATE A LONG TIME AGO. Maybe the pundits and the media, which can certainly influence and manipulate a large part of the electorate, don't care about our country at all. They only care about the ratings and the novelty rather than being professional and patriotic. Trump is making us the both the laughing stock and the nightmare of the world, the second of which is not because we are putting the fear of God into our enemies but also OUR FRIENDS. Stop it already!"
,12,"Mar 5, 2016",Isomerica,"The GOP (and Fox News writers) would rather fall on the sword and accept Trump's nomination (or certain third-party candidacy following a brokered convention) than allow the obvious choice: a Cruz-Rubio pairing. Cruz is more detested by the apparatchiks than Trump. Cut off nose, spite face. Despicable."
,13,"Mar 5, 2016",JimDahdl,John Kasich is the only qualified candidate to be president and THE ONLY ONE WHO CAN BEAT HILLARY CLINTON. Has everyone lost their mind??! Kasich is our only chance of beating Hillary in the general election. If he doesn't win then we are S.O.L.
,14,"Mar 5, 2016",ToborDixon,I do not wamt to stop Trump!
