URL,ID,Date,Author,Comment
http://www.foxnews.com/opinion/2016/03/01/hillary-vs-bernie-it-s-time-to-do-math-in-post-super-tuesday-world.html,,,,
,1,"Mar 4, 2016",cammosutra,"Like him or hate him, Bernie has a legitimate point: How can we (the USA) ever have a strong middle class consumer based economy again like we used to when the bottom 60 percent of wage earners now only control 7% of the wealth and income? Meanwhile, the top 5 percent control 73% of the wealth and income and it is NOT trickling down. Of course, this redistribution of income was OK when Reaganomics set it in motion, but how dare anybody speak of wealth redistribution today? BTW these numbers come from a fly by night outfit called ""The Harvard Business School"" in case anyone is interested.
Bernie Sanders at least gets it. No one on the GOP side seems to have a clue."
,2,"Mar 4, 2016",truthavenged,@cammosutra Having a point and a cogent plan for implementing it are 2 different animals.
,3,"Mar 3, 2016",William Halterman,"When Obama made it impossible for her to win, she continued to campaign.  You will not silence my vote.  I do not subscribe to your establishment-ism."
,4,"Mar 3, 2016",RickMcDaniel,"Hillary was set in stone, in 2008. Everyone knew the Dems would shove her down the throat of the voters."
,5,"Mar 2, 2016",enapel,Clearly Mr. Sanders is part of the establishment after a lifetime in politics.  All of his rhetoric doesn't change the fact that he just is using another angle.  The Clinton nomination is rigged and has been from the start.  It has nothing to do with the popular vote.  She needs to be in the brig.
,6,"Mar 3, 2016",fauxsucks,"@enapel Clearly he is against the establishment, because he is not a 1% like the other politicians. "
,7,"Mar 2, 2016",JRWeed,"Apparently, the demographic that loves Bernie was even too lazy to get out and vote.

If only someone would have done it for them.

Like everything else."
,8,"Mar 2, 2016",KirstyL,@JRWeed I would have voted if I lived in the USA
,9,"Mar 3, 2016",William Halterman,"@JRWeed Get over yourself, no one voted?  Hillary was expected to stomp him in every single state, and yet he won some states and even stomped her in important democratic states.  Unreal.  I don't want your money, I worked for mine. "
,10,"Mar 2, 2016",Syrinx,"A Bernie campaign was a lost cause before he even declared his candidacy.
The whole thing was rigged from the beginning to get the nomination to Hillary.
Bernie running just gives the DNC cover to make it look like it was a contest."
,11,"Mar 2, 2016",Sonsofliberty7676,"@Syrinx  fortunately it means she's not battle tested-

whereas TRUMP is very much so-

with 2 of the worst weeks still to come!

Hang tough for TRUMP!"
,12,"Mar 2, 2016",MOKC,"Bernie won in three States that could give electoral college delegates in the fall.  Hillary won two the Democratic can win in the fall.
What difference does it make for Hillary to win Texas, Alabama, Georgia, Arkansas, and Tennessee."
,13,"Mar 2, 2016",phebes,"@MOKC  um, a whole lot of delegates?"
,14,"Mar 2, 2016",William Halterman,"Bill was in MA yesterday, illegally electioneering in front of the voting stations.  He, and his secret service, denied voters entry for hours at a time.  If you think this did not have an impact on the outcome, you are wrong.

Sanders trails by a mere ~3%, and only ~21% of the delegates have been awarded so far.  It is far from over."
,15,"Mar 2, 2016",richard1939,"I wonder if all those young voters that love Bernie so much, will come out to vote for Hildabeast after she steals the primary from him!"
,16,"Mar 2, 2016",CodyCrawford,"@richard1939 As a Bernie supporter I can confirm, no. "
,17,"Mar 3, 2016",JimBerry2016,"@CodyCrawford @richard1939 As a Bernie supporter I can confirm, yes."
,18,"Apr 24, 2016",ABJackson,"@richard1939  Not sure I would qualify as ""young"" at 43, but I'm Bernie or Bust.  If he doesn't win the nomination, I will still vote, but never for Hillary- even if Bernie or Warren were VP. A vote for Hillary would be a vote for someone I find ethically repugnant. It would also be an acquiescence to the DNC and the establishment at large. I would write-in Bernie or vote for Jill Stein of the Green Party. "
,19,"Mar 2, 2016",THallVP,"There's another ""vote"" that may affect the Democrat nomination process.  It comes from either a Federal preosecutoir or a Grand Jury!"
,20,"Mar 2, 2016",kg14051,"I don't vote Democrat because their message doesn't appeal to me.  I put myself through college working full time while taking 16-18 credit hours per semester, which allowed me to graduate with only $5k in student loans, which I handily paid back working my $100k/year job in my degree field (hint: NOT a philosophy degree).

But I can see why people who have never done anything with their lives would vote for Hillary or Bernie.  The promise of free stuff without any effort appeals to the most base desires of human nature."
,21,"Mar 2, 2016",PhilipReingart,"I put myself through college + grad school with loans...almost 300K of them. My guarantor for the govt (Thank you George W Bush). I will make good on paying back all the loans + interest. Everyone wins.
The govt should sponsor young and intelligent students until they can get on their feet. Good job making it on your own, but grad school is impossible to pay for on your own."
,22,"Mar 3, 2016",Rich D,"@PhilipReingart Eleven years of college, and I never took out a loan. The government (me) is not responsible for lending money to students, especially for dead-end degrees like those that contain the word ""studies."""
,23,"Mar 3, 2016",JimBerry2016,@Rich D @PhilipReingart Well I'm glad 1970 politics and the education system that we had back then worked for you. It's just not that easy anymore!
,24,"Mar 2, 2016",moot1,@kg14051 It sounds like Republican spin that you're using as your argument. Many people with money vote for Hillary and she has a lot of powerful backers.
,25,"Mar 2, 2016",phebes,@kg14051   How long ago was that?
