URL,ID,Date,Author,Comment
http://www.foxnews.com/politics/2016/03/01/clinton-picks-up-early-wins-in-virginia-georgia-sanders-takes-vermont.html,,,,
,1,"Mar 2, 2016",BigDoctheRock1,You know what . . . I don't care what anybody says !!! Weekend at Bernie's was still an hysterical movie !!
,2,"Mar 2, 2016",BigDoctheRock1,How was this guy EVER elected to anything !!?
,3,"Mar 2, 2016",LibertyBell2016,"Bernie said that he plans to take his fight all the way through the California primary.

He is able to raise plenty of money. So, he will be able to continue his quest of tilting at wind mills."
,4,"Mar 2, 2016",wolfen4h,"Hillary says our country never stopped being great,that's not true it stopped in 2008 and if she is elected it will continue to fail"
,5,"Mar 2, 2016",BigDoctheRock1,"@wolfen4h 


America was dropped off at the pool with the Obamas back in 2008 !!"
,6,"Mar 2, 2016",ammo17,why isn`t Hillary in prison?
,7,"Mar 2, 2016",stoneman12342002,@ammo17 Good question.
,8,"Mar 2, 2016",LibertyBell2016,@ammo17  The same reason Trump isn't in jail...they've got good lawyers.
,9,"Mar 2, 2016",GuestOoo,"Clinton will win and she is the best for the USA.
Research the following accomplishments of Hillary Clinton:
1. Hillary Clinton-led NATO bombing of Libya
2. Hillary Clinton's email 
3. Bill Clinton's presence inside a polling location in Boston on Super Tuesday
4. Paid speeches Hillary Clinton gave to Goldman Sachs and other financial institutions
5. Benghazi 
6. Dodging enemy fire in Bosnia.
7. Super Predators - Bring them to heel.
8. Bankers donating money to the Clinton Foundation."
,10,"Mar 2, 2016",stoneman12342002,"@GuestOoo Wow. She sounds just like a typical Republican, Wait for it......oh yeah. She is."
,11,"Mar 2, 2016",SSN666,His 'path' was always in doubt.   Only naive millenials do not know that the fix was in for Hillary.
,12,"Mar 2, 2016",slip66,The only way Shrillary can be walking around with that maniacal smile on her face is if she knows she's somehow safe from prosecution.  Laws simply do not apply to these people. 
,13,"Mar 2, 2016",4bennett,"@slip66 Hillary has the ""goods"" on Obama and he (and president Jarrett) know that if she goes down he goes with her.
Wonderful as it would be (and good for the country) our coven of inept money hungry,corrupt career politicians cannot let this happen as too much light might be focused upon them as well when the apple-cart is upset."
,14,"Mar 2, 2016",SamSnead,All the old hippies and their dreams of Utopia with Sanders is fading way I am glad to say.
,15,"Mar 2, 2016",stoneman12342002,@SamSnead Yes. Because an actual plan to help the middle class would be bad for America. I do not believe they let you guys vote.
,16,"Mar 2, 2016",SSN666,"@stoneman12342002 @SamSnead
If they had such an actual plan, we might be for it.  But since they do not.........

That is why 'they' 'let' us vote."
,17,"Mar 2, 2016",stoneman12342002,@SSN666 @stoneman12342002 @SamSnead He does if you actually researched it. Unfortunately Trump is the one wwith no real plan....just quotes of hate and racism. Why do they let you vote again?
,18,"Mar 2, 2016",patriotactor,"I was hoping  that the Socialist would not win. Of course he gets the young skulls full of oatmeal to vote for him.
Free college for all and you can make as much as a Dr. with your non-degree....who pays for all of that? TAXES which they will owe if they work instead of living off from US."
,19,"Mar 2, 2016",4bennett,@patriotactor With your free college degree you can get a swell job at McDonald's.
,20,"Mar 2, 2016",4bennett,"TRUMP for PRESIDENT
CLINTON for PRISON"
,21,"Mar 2, 2016",TheFoxx,"this Superdelegate thing was invented by the DNC  number of years ago so it could control the nomination - to not let an outsider enter through the front door. If not for these non-elected fatcats and washed-up former this and that, the actual people (electorate) would determine who THEIR nominee would be and Sanders would be able to continue with some modicum of a chance. What a sham. Thank goodness the RNC didn't do this.  "
,22,"Mar 2, 2016",tsb8c,"Sanders never had a chance. The Dem party leadership has coddled Clinton since day one. Add in that she has bribed/promised/threatened/etc super delegates that have nothing to do with how people actually vote, and she will be the nominee."
,23,"Mar 2, 2016",gizmom,JAIL TO THE HAG
,24,"Mar 2, 2016",sessums1,sanders is only a little more than 100 delegates behind clinton and there are several more states in play....to hear you in the media speak clinton already has the nomination
,25,"Mar 2, 2016",txpatriot13,"He might as well stay in, just in case Hillary is suddenly detained."
,26,"Mar 2, 2016",patriotyzm,Hillary Clinton would be the most corrupt president in American history! 
,27,"Mar 2, 2016",12345abcde,"@patriotyzm  Obama will be tough to beat on that one, but think you are correct!"
,28,"Mar 2, 2016",SteveH1776,@12345abcde @patriotyzm what are some of Obama's corruption scandals? 
,29,"Mar 2, 2016",action2012,"@patriotyzm Wrong. That title belongs to the Bush-Cheney Big Government war machine that gave us ISIS, crashed the world economy, and murdered hundreds of thousands of innocent people while making the world hate  Amerika."
,30,"Mar 2, 2016",Goalieman64,"@action2012 @patriotyzm typical liberal response.  Bush's fault, Bush's fault, copy paste repeat"
,31,"Mar 2, 2016",gizmom,Liberalism=A virulent cancer growing on and killing US
,32,"Mar 2, 2016",stoneman12342002,"@Goalieman64 @action2012 @patriotyzm
LMAO.....even Trump chimed in on the ultimate failure and looting of the tax payer under the Bush regime."
,33,"Mar 2, 2016",GunnersMate2,Actually Bill Clinton started the mess
,34,"Mar 2, 2016",gizmom,WRONG ..............that title is obama's Legacy in stone .
,35,"Mar 2, 2016",stoneman12342002,@gizmom Do you actually think you are intelligent?
,36,"Mar 2, 2016",12345abcde,"Sanders was pres-selected to FAIL, and their attempt to try and make Hillary appear centrist and electable!

Demokkkomunist Liberals are the epitome of anti-American ideals - TOTAL FAIL!!!"
,37,"Mar 2, 2016",action2012,@12345abcde Heil Trump! Heil Fascism! Heil Racism! Heil Fraud!
,38,"Mar 2, 2016",SamSnead,@12345abcde Amazing how much information you and you alone have..
,39,"Mar 2, 2016",Goalieman64,It just baffles me to no end how Hillary is a nominee for the DNC.  What has our country come to?  It is truly boggles my mind. How on Gods green earth can this hideous woman with her background ever be nominated?  I think I need to see my therapist....
,40,"Mar 2, 2016",ThoughtAndDecency,"@Goalieman64 Tell me, how do you feel about Trump?"
,41,"Mar 2, 2016",12345abcde,@ThoughtAndDecency @Goalieman64  make America Great AGAIN!!!! GO TRUMP! GO AMERICA!!!
,42,"Mar 2, 2016",Goalieman64,@ThoughtAndDecency @Goalieman64 I have mixed feelings on this guy.  I am worried about him too.  He has snuggled up to the liberals to much in the past.  He constantly insults the party he is running for when he should be also focusing on the DNC.  He may do this in the future so will have to wait and see.  If he is the nominee I will vote for him.  I want to see him rip Hillary a new one
,43,"Mar 2, 2016",txpatriot13,But then again Ted Cruz has flip flopped on multiple issues just since January. And Ted supported Obamatrade/TPP.
,44,"Mar 2, 2016",stoneman12342002,@txpatriot13 TPP . Actually pushed by the Republicans and Obama. Big corporate influence and $$$$$$$
,45,"Mar 2, 2016",stoneman12342002,@Goalieman64 @ThoughtAndDecency Not going to happen. Trump..Hillary...Hillary...Trump. You have been played. Glad you see that.
,46,"Mar 2, 2016",txpatriot13,Because the Clintons have juice with the right people.
,47,"Mar 2, 2016",sessums1,@txpatriot13 yes Satan is great to know for earthly power and influence
,48,"Mar 2, 2016",BeverlyHillsDrDan,"Sanders path was ALWAYS IN DOUBT, because The fix is in for Hillary,  The head of the DNC supports HRC and how does she have all the Super delegates before the voting?"
