URL,ID,Date,Author,Comment
http://www.foxnews.com/politics/2016/02/28/sanders-after-clinton-s-big-win-super-tuesday-beyond-will-be-tough-fight.html,,,,
,1,"Mar 2, 2016",SeanMiller79,Bernie will be a greater president then Theodore Roosevelt!
,2,"Feb 29, 2016",TedRoughRider,Bernie is an even bigger con man than Trump.
,3,"Feb 29, 2016",slohunter1,Sanders looks like he might not make it till Tuesday. 
,4,"Feb 29, 2016",parkhaven3,"@slohunter1 He made a lot of money being a foil and had a good run. Not bad for an anachronistic, old-timey, Stalinist, soviet communist. "
,5,"Feb 29, 2016",Rx7,Col.Sanders make get some high scores..but. ..
,6,"Feb 29, 2016",markscottduchar,"I have been guilty of name calling. When you feel as strongly as I do about this up coming election civility has lost out to mean and petty name calling. Sorry. anyway, Go Trump "
,7,"Feb 29, 2016",TomDavie,@markscottduchar I wish more folks were like you. Thumbs up. 
,8,"Feb 29, 2016",Bierce,"Bernie Sanders may hold the key to the immigration issue. When he drops out, and the illegal immigrants realize that the US is not going socialist and will remain a terrible and unfair country, maybe they'll all move to Sweden, or Cuba or move back to where they came from."
,9,"Feb 29, 2016",parkhaven3,"@Bierce dopey has so hobbled the economy (just like carter) that Trump should be able to get it up and running again to unprecedented levels within a year or two. The illegals will be absorbed into the economy as workers and that will take care of most of the problem like it did under Reagan. The other thing he has to do to restore the country to health is to cut the size of government dramatically and slowly start to ween the minorities off of their government provided free stuff. This will stimulate them to get jobs and get back to being fully functioning adults in a civilized society. 

When eaglets refuse to fledge after 12+ weeks, the parents stop feeding them as much to get them to lose weight making it easier for them to fly as to make them hungry so that they have a reason to get out of the nest and begin looking for food. This is what Trump has to do. If they continue to stay in the nest the way dopey and the dims are trying to do, they will die as a sub-culture as the rest of the country moves on. "
,10,"Feb 29, 2016",Rx7,Mrs.Clinton will support them
,11,"Feb 29, 2016",mariaamoramore,Want to learn a strategy and the most perfect method to earn money and to be successful in trading? Google Superior Trading System.
,12,"Feb 29, 2016",FredSeattle,Time to take the gloves off Bernie.  Hit Hilliary where it hurts...... scandal after scandal after lie
,13,"Feb 29, 2016",parkhaven3,@FredSeattle He can't do that. Part of the deal to being able to run on the DNC ticket is that he agreed not to ask the horror of Babylon about any of her crimes 
,14,"Feb 29, 2016",Rx7,Or wall St supporter
,15,"Feb 29, 2016",Tim709,"As reported  “Hillary Clinton and the Democrats own the African American vote.”

How can a person or party OWN the vote of a specific race of people???????

Things that make ya go HUMMMMM????"
,16,"Feb 29, 2016",parkhaven3,"@Tim709 So, the dims own the Blacks again just like they did before the civil war. Shocker!"
,17,"Feb 29, 2016",betterthanlife,@parkhaven3 @Tim709 What do you mean again? Still. 
,18,"Feb 29, 2016",parkhaven3,@betterthanlife @parkhaven3 @Tim709 You read the post. No comprendo? 
,19,"Feb 29, 2016",betterthanlife,"@parkhaven3 @betterthanlife @Tim709 Yes I did. It isn't an again thing, the only thing that has changed is the name of the master, the DNC enslaving them to the dole. 

So it isn't ""again"" it is ""still."""
,20,"Feb 29, 2016",parkhaven3,"@betterthanlife @parkhaven3 @Tim709 OK, lets look at it this way. The dims owned the Blacks physically before the GOP freed them. Now, they have let themselves become enslaved again politically in exchange for free stuff by the same dims. Before, they existed as a manual labor slave force. Now, their function is to be dim voter biobots. Either way, they are conditioned and not educated. Both ways, they are slaves to another class. A land owner class in the first case and now a communist political class. "
,21,"Feb 29, 2016",foxman63,@Tim709 I'm sure if you look into the family tree of Clinton  you'll see more on how the Clinton family owns african americans
